region,entertainments_count,hospital_count,park_count,psf_count,school2_count,school1_count,shop_count,stop_count
Nagambie,5.0,,8.0,6.0,,3.0,1.0,4.0
Moorabbin - Heatherton,5.0,2.0,16.0,1.0,2.0,6.0,2.0,87.0
Stawell,5.0,1.0,18.0,9.0,,8.0,3.0,74.0
Dandenong North,5.0,,22.0,,3.0,5.0,1.0,103.0
Dandenong - South,5.0,,25.0,,,1.0,2.0,128.0
Kew East,5.0,,10.0,,1.0,3.0,1.0,41.0
Reservoir - North East,5.0,,23.0,,2.0,4.0,3.0,59.0
Rowville - South,4.0,,21.0,,3.0,1.0,3.0,36.0
Brighton East,4.0,,10.0,,3.0,4.0,,58.0
Mernda - North,4.0,,77.0,2.0,2.0,2.0,3.0,35.0
Pascoe Vale South,4.0,,7.0,,5.0,2.0,1.0,41.0
Yea,4.0,1.0,7.0,5.0,1.0,4.0,1.0,10.0
South Morang - South,4.0,,65.0,1.0,2.0,3.0,5.0,41.0
Portarlington,4.0,,15.0,3.0,,2.0,2.0,91.0
Heathcote,4.0,1.0,4.0,8.0,,3.0,1.0,13.0
Research - North Warrandyte,4.0,,8.0,3.0,2.0,3.0,,58.0
Lalor - East,4.0,,15.0,,1.0,4.0,11.0,41.0
Riddells Creek,4.0,,4.0,2.0,,1.0,2.0,4.0
Surrey Hills (East) - Mont Albert,4.0,1.0,10.0,,2.0,3.0,1.0,31.0
Moe - Newborough,4.0,,15.0,4.0,5.0,9.0,4.0,115.0
Seymour,4.0,2.0,16.0,3.0,2.0,2.0,5.0,53.0
Pearcedale - Tooradin,4.0,,12.0,2.0,,2.0,1.0,47.0
Glen Waverley - East,4.0,,37.0,3.0,4.0,7.0,1.0,82.0
Point Cook - North West,4.0,1.0,12.0,,,2.0,4.0,16.0
Flemington Racecourse,4.0,,3.0,,,,2.0,8.0
Bulleen,4.0,,30.0,,1.0,3.0,3.0,60.0
Canadian - Mount Clear,4.0,,44.0,1.0,2.0,7.0,1.0,63.0
Heidelberg West,4.0,1.0,16.0,1.0,4.0,2.0,3.0,103.0
Kilmore - Broadford,4.0,1.0,23.0,3.0,,6.0,4.0,40.0
Broadmeadows,4.0,1.0,12.0,2.0,1.0,10.0,4.0,89.0
Langwarrin,4.0,1.0,53.0,1.0,1.0,7.0,5.0,97.0
Lara,4.0,,37.0,3.0,4.0,5.0,3.0,69.0
Irymple,4.0,,5.0,,3.0,6.0,1.0,21.0
Maryborough Surrounds,4.0,1.0,11.0,8.0,1.0,5.0,1.0,14.0
Bannockburn,4.0,,8.0,2.0,2.0,2.0,3.0,5.0
Kilsyth,4.0,,21.0,,1.0,4.0,4.0,55.0
Mernda - South,4.0,,78.0,,,2.0,2.0,46.0
Longford - Loch Sport,4.0,,11.0,6.0,,4.0,1.0,26.0
Greenvale - Bulla,4.0,,55.0,3.0,4.0,7.0,3.0,71.0
Morwell,4.0,1.0,21.0,2.0,1.0,5.0,5.0,107.0
Maffra,4.0,2.0,20.0,9.0,2.0,11.0,6.0,26.0
Paynesville,4.0,,4.0,2.0,,2.0,1.0,2.0
Lynbrook - Lyndhurst,4.0,,20.0,,1.0,3.0,5.0,46.0
Essendon (West) - Aberfeldie,3.0,,15.0,,4.0,6.0,5.0,67.0
Bacchus Marsh Surrounds,3.0,1.0,12.0,9.0,2.0,4.0,1.0,10.0
Shepparton - South East,3.0,,21.0,4.0,1.0,6.0,8.0,119.0
Shepparton - North,3.0,5.0,23.0,,8.0,11.0,1.0,159.0
Ashburton (Vic.),3.0,,12.0,1.0,6.0,3.0,2.0,28.0
Mildura - South,3.0,,19.0,1.0,1.0,5.0,4.0,121.0
Alexandra,3.0,1.0,15.0,10.0,,7.0,3.0,20.0
Wendouree - Miners Rest,3.0,,41.0,1.0,2.0,7.0,7.0,116.0
Doveton,3.0,,18.0,,2.0,2.0,1.0,46.0
Wheelers Hill,3.0,,57.0,,5.0,8.0,6.0,105.0
Barwon Heads - Armstrong Creek,3.0,,12.0,1.0,,4.0,5.0,58.0
Beechworth,3.0,1.0,11.0,5.0,1.0,5.0,2.0,3.0
Bentleigh East - South,3.0,,7.0,,9.0,5.0,1.0,82.0
Macedon,3.0,,2.0,3.0,,4.0,1.0,2.0
Mount Waverley - North,3.0,,29.0,,2.0,5.0,1.0,52.0
Nhill Region,3.0,5.0,32.0,20.0,2.0,9.0,5.0,14.0
Surrey Hills (West) - Canterbury,3.0,,18.0,,1.0,7.0,3.0,67.0
Thomastown,3.0,,26.0,1.0,1.0,8.0,3.0,115.0
Sunshine West,3.0,,30.0,,,8.0,4.0,99.0
Berwick - South West,3.0,,12.0,,2.0,1.0,,25.0
Derrimut,3.0,,11.0,1.0,2.0,2.0,4.0,24.0
Creswick - Clunes,3.0,2.0,24.0,9.0,2.0,6.0,2.0,58.0
Coburg - West,3.0,2.0,19.0,,2.0,4.0,,55.0
Chirnside Park,3.0,,32.0,2.0,1.0,2.0,7.0,40.0
Chelsea Heights,3.0,,9.0,,1.0,1.0,1.0,41.0
Benalla Surrounds,3.0,,1.0,11.0,,3.0,,4.0
Narre Warren South - East,3.0,,25.0,1.0,1.0,2.0,4.0,41.0
Benalla,3.0,1.0,10.0,4.0,,5.0,3.0,53.0
Buloke,3.0,5.0,24.0,26.0,1.0,9.0,7.0,16.0
Point Lonsdale - Queenscliff,3.0,,9.0,3.0,,3.0,3.0,41.0
Point Cook - North East,3.0,,35.0,1.0,1.0,3.0,8.0,46.0
Kyabram,3.0,2.0,13.0,5.0,2.0,5.0,3.0,5.0
The Basin,3.0,,8.0,1.0,1.0,3.0,,15.0
Shepparton Surrounds - West,3.0,1.0,18.0,5.0,2.0,10.0,2.0,10.0
Essendon Airport,3.0,,3.0,1.0,2.0,,8.0,5.0
Hallam,3.0,,21.0,1.0,,2.0,1.0,56.0
Craigieburn - North,3.0,,31.0,,1.0,4.0,2.0,31.0
Bundoora - West,3.0,1.0,23.0,,2.0,3.0,3.0,17.0
Rutherglen,3.0,,8.0,5.0,,4.0,1.0,7.0
Armadale,3.0,,7.0,,,2.0,3.0,63.0
Mooroopna,3.0,,15.0,2.0,2.0,3.0,2.0,69.0
Ballarat East - Warrenheip,3.0,,41.0,1.0,2.0,5.0,2.0,59.0
Mount Evelyn,3.0,,10.0,2.0,2.0,4.0,1.0,41.0
Plenty - Yarrambat,2.0,,26.0,3.0,2.0,4.0,1.0,58.0
Rockbank - Mount Cottrell,2.0,,44.0,1.0,2.0,3.0,1.0,44.0
Avoca,2.0,,7.0,10.0,,6.0,2.0,18.0
Bunyip - Garfield,2.0,,7.0,5.0,3.0,6.0,1.0,13.0
Lysterfield,2.0,,30.0,,,1.0,,25.0
Templestowe Lower,2.0,,23.0,,1.0,4.0,3.0,63.0
Norlane,2.0,,14.0,1.0,1.0,1.0,4.0,48.0
Doreen - South,2.0,,87.0,,,1.0,2.0,32.0
Strathmore,2.0,,22.0,,1.0,4.0,1.0,52.0
Somerville,2.0,,29.0,5.0,4.0,9.0,7.0,54.0
Monbulk - Silvan,2.0,,8.0,3.0,,5.0,2.0,27.0
Keysborough - South,2.0,,9.0,1.0,,5.0,5.0,44.0
Tullamarine,2.0,,19.0,,1.0,1.0,,30.0
Braeside,2.0,,7.0,,,,,48.0
Oak Park,2.0,,17.0,,,2.0,1.0,21.0
Seymour Surrounds,2.0,,2.0,7.0,,4.0,,26.0
Castlemaine Surrounds,2.0,1.0,32.0,15.0,2.0,8.0,1.0,32.0
Frankston South,2.0,,31.0,,,4.0,1.0,65.0
Trafalgar (Vic.),2.0,,17.0,3.0,,6.0,1.0,8.0
Golden Plains - South,2.0,,7.0,8.0,2.0,6.0,,7.0
Ivanhoe East - Eaglemont,2.0,,17.0,,,1.0,2.0,25.0
Traralgon - West,2.0,1.0,35.0,1.0,,5.0,1.0,67.0
Pakenham - North West,2.0,,17.0,,1.0,2.0,1.0,9.0
Camperdown,2.0,,9.0,4.0,,3.0,2.0,5.0
Berwick - South East,2.0,,32.0,,1.0,4.0,4.0,60.0
Panton Hill - St Andrews,2.0,,4.0,6.0,1.0,8.0,,2.0
Epping - South,2.0,3.0,26.0,1.0,1.0,4.0,6.0,74.0
Yarram,2.0,1.0,9.0,4.0,,5.0,2.0,9.0
Kinglake,2.0,,4.0,3.0,,4.0,1.0,25.0
Keilor East,2.0,,52.0,1.0,4.0,4.0,4.0,62.0
Melton West,2.0,1.0,34.0,,,8.0,8.0,86.0
Toorak,2.0,,5.0,,,4.0,3.0,54.0
Point Cook - East,2.0,,60.0,,6.0,3.0,2.0,34.0
Moira,2.0,,7.0,2.0,,2.0,,7.0
Southern Grampians,2.0,1.0,12.0,27.0,,9.0,2.0,17.0
Bruthen - Omeo,2.0,1.0,19.0,13.0,,8.0,2.0,13.0
Churchill,2.0,,34.0,6.0,2.0,8.0,2.0,44.0
Airport West,2.0,,18.0,,5.0,2.0,5.0,57.0
Korumburra,2.0,1.0,9.0,8.0,,7.0,2.0,18.0
East Bendigo - Kennington,2.0,,24.0,,2.0,3.0,6.0,75.0
Clarinda - Oakleigh South,2.0,,25.0,,4.0,2.0,2.0,56.0
Alfredton,2.0,,53.0,,2.0,4.0,3.0,43.0
Tarneit - Central,2.0,,44.0,4.0,,6.0,9.0,79.0
Braybrook,2.0,,23.0,,2.0,6.0,8.0,85.0
Altona Meadows,2.0,,36.0,,1.0,3.0,3.0,46.0
Pakenham - North East,2.0,,31.0,,4.0,3.0,1.0,41.0
Gannawarra,2.0,1.0,8.0,8.0,1.0,6.0,2.0,9.0
Narre Warren South - West,2.0,,15.0,,6.0,3.0,1.0,68.0
Noble Park North,2.0,,12.0,,,3.0,,45.0
Horsham Surrounds,2.0,,7.0,14.0,2.0,2.0,,10.0
Pakenham - South East,2.0,,14.0,1.0,2.0,,3.0,32.0
