Region,population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless
Burnside,161.22857142857146,63.18285714285719,92.59999999999998,-114.99999999999996,40.2,50.37142857142857,0.6857142857142856,0.0,51.05714285714285,1518.5000000000002,149.70000000000002,1.14,64.09999999999998,10.100000000000001,4.1,-1.9999999999999998
BurnsideHeights,-60.94285714285714,-30.5485714285714,-61.699999999999996,-102.99999999999997,28.0,3.0,2.057142857142857,,5.057142857142856,1038.1999999999998,85.69999999999999,0.8799999999999996,50.300000000000004,4.8999999999999995,3.1999999999999997,-1.3
CarolineSprings,-139.31428571428572,-20.048571428571414,-120.00000000000001,-534.9999999999998,97.69999999999999,6.1142857142857165,5.314285714285714,27.914285714285715,39.34285714285714,1134.7999999999997,347.20000000000005,0.5200000000000002,184.7,17.399999999999995,40.50000000000001,0.8999999999999998
Brookfield,85.54285714285714,8.000000000000002,5.1000000000000005,-165.99999999999997,64.2,32.65714285714286,2.428571428571429,,35.085714285714296,,719.3,1.2200000000000002,116.59999999999998,12.699999999999998,40.09999999999999,6.799999999999999
Cobblebank-Strathtulloh,1502.3142857142857,76.0257142857143,1018.5,-184.99999999999994,211.60000000000002,501.48571428571444,18.857142857142858,,520.3428571428573,,76.4,3.749999999999999,342.0,25.1,63.199999999999996,
Eynesbury-Exford,73.05714285714286,1.0428571428571423,19.0,130.99999999999997,12.0,19.48571428571428,0.5714285714285715,,20.057142857142857,,217.70000000000005,0.8299999999999996,110.8,3.8000000000000007,7.499999999999998,
FraserRise-Plumpton,1813.3428571428574,30.885714285714286,940.9000000000001,387.9999999999999,152.9,428.1142857142857,16.257142857142856,0.0,444.3714285714285,,207.6,4.0200000000000005,498.49999999999994,22.499999999999996,50.29999999999999,
Hillside,-148.2857142857143,-18.97142857142861,-70.8,-272.99999999999983,37.2,31.428571428571434,0.7428571428571428,0.0,32.17142857142858,,767.2,0.9099999999999993,108.1,13.600000000000001,9.1,-2.4
Kurunjang-ToolernVale,21.514285714285705,0.1800000000000008,-30.999999999999993,-147.99999999999997,64.2,93.02857142857142,1.9714285714285713,0.14285714285714288,95.14285714285717,,92.00000000000001,0.9499999999999998,45.099999999999994,5.0,19.099999999999994,-0.29999999999999993
Melton,-93.71428571428571,-9.491428571428582,-106.59999999999998,-52.99999999999999,42.199999999999996,24.114285714285717,2.857142857142857,,26.97142857142857,,67.60000000000002,0.6100000000000001,-44.99999999999999,-3.099999999999999,12.4,-0.19999999999999998
MeltonSouth-WeirViews,1428.5428571428574,129.62857142857146,795.4000000000001,-310.9999999999999,186.29999999999995,385.40000000000003,13.314285714285715,0.0,398.7142857142857,,877.6,1.7699999999999996,254.29999999999998,29.300000000000004,105.00000000000001,10.9
HoppersCrossing-North,-373.8857142857144,-34.254285714285686,-424.09999999999997,-286.9999999999999,91.49999999999999,14.314285714285713,9.371428571428574,0.0,23.685714285714294,1003.3000000000003,89.00000000000001,0.7800000000000005,-64.8,5.3999999999999995,31.099999999999994,7.9
HoppersCrossing-South,-387.9142857142858,-55.328571428571436,-400.8,-222.99999999999994,74.60000000000001,4.885714285714287,6.6571428571428575,0.22857142857142856,11.771428571428569,541.5,299.20000000000005,0.94,-65.89999999999999,8.299999999999999,56.0,-1.0
