shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"3-109-mjp-1.3.H","-37.8174085306146","144.959934412822","72","4040.93"
"3-109-mjp-1.3.H","-37.816269532398","144.963896254869","73","4411.27"
"3-109-mjp-1.3.H","-37.8155633149729","144.966312551506","74","4637.58"
"3-109-mjp-1.3.H","-37.8142609768997","144.970744411993","75","5052.96"
"3-109-mjp-1.3.H","-37.813443379653","144.973504406592","76","5311.89"
"3-109-mjp-1.3.H","-37.8133158865887","144.973950907421","77","5353.60"
"3-109-mjp-1.3.H","-37.8122451389513","144.974570857065","78","5484.52"
"3-109-mjp-1.3.H","-37.8107102896532","144.975453364072","79","5671.97"
"3-109-mjp-1.3.H","-37.8096859663697","144.975629007915","80","5786.91"
"3-109-mjp-1.3.H","-37.8082122405405","144.975873711717","81","5952.19"
"3-109-mjp-1.3.H","-37.808276042262","144.976439898374","82","6002.43"
"3-109-mjp-1.3.H","-37.8083091125314","144.976791111674","83","6033.50"
"3-109-mjp-1.3.H","-37.8084709399479","144.978342824234","84","6171.01"
"3-109-mjp-1.3.H","-37.8089635579097","144.982895582301","85","6574.70"
"3-109-mjp-1.3.H","-37.8093073783875","144.986134828576","86","6861.83"
"3-109-mjp-1.3.H","-37.8097373204801","144.99020096462","87","7222.22"
"3-109-mjp-1.3.H","-37.8097358694517","144.990643998243","88","7261.15"
"3-109-mjp-1.3.H","-37.8097202667369","144.992370962951","89","7412.87"
"3-109-mjp-1.3.H","-37.8097423467854","144.992608900358","90","7433.91"
"3-109-mjp-1.3.H","-37.8097554187091","144.992847081856","91","7454.89"
"3-109-mjp-1.3.H","-37.8097661680429","144.992949020293","92","7463.92"
"3-109-mjp-1.3.H","-37.8100571399947","144.995746785394","93","7711.83"
"3-109-mjp-1.3.H","-37.8104111609486","144.99907674153","94","8007.00"
"3-109-mjp-1.3.H","-37.8105525611453","145.000504154321","95","8133.38"
"3-109-mjp-1.3.H","-37.8105638822478","145.000640156575","96","8145.39"
"3-109-mjp-1.3.H","-37.8109097206184","145.0040271768","97","8445.41"
"3-109-mjp-1.3.H","-37.8109751197072","145.004695599064","98","8504.58"
"3-109-mjp-1.3.H","-37.811042438225","145.005477561459","99","8573.68"
"3-109-mjp-1.3.H","-37.8111829927602","145.006859586414","100","8696.09"
"3-109-mjp-1.3.H","-37.811455621591","145.009657958012","101","8943.78"
"3-109-mjp-1.3.H","-37.8114000511698","145.010102455886","102","8983.31"
"3-109-mjp-1.3.H","-37.8114318707909","145.010385579628","103","9008.44"
"3-109-mjp-1.3.H","-37.8117193666059","145.013001829792","104","9240.48"
