population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless,year,region,median
19873.466666666674,2655.3133333333335,14037.199999999983,795.0,2268.7999999999884,3732.3714285714286,3929.266666666663,803.7238095238095,8495.361904761929,52602.80000000028,20180.800000000047,71.7866666666664,10224.599999999977,888.8000000000011,3455.1999999999825,189.1999999999989,2024,Braybrook,-1.0
19907.695238095243,2659.879047619048,13955.299999999988,16.0,2422.1999999999534,3731.342857142857,4121.066666666651,805.1809523809525,8687.590476190497,53949.0,20938.5,73.17666666666673,10539.300000000047,893.9000000000015,3547.0999999999767,193.59999999999854,2025,Braybrook,-1.0
19941.92380952381,2664.4447619047623,13873.399999999965,16.0,2575.5999999999767,3730.3142857142857,4312.866666666698,806.638095238095,8879.819047619065,55295.200000000186,21696.200000000186,74.5666666666666,10854.0,899.0,3639.0,198.0,2026,Braybrook,-1.0
12795.657142857206,2576.12761904762,14961.599999999991,16554.0,43.20000000001164,2566.752380952379,908.5333333333401,278.8571428571595,1213.1428571428405,14650.700000000186,6255.40000000014,49.33333333333303,2404.666666666628,579.3333333333321,1207.666666666686,260.3333333333335,2001,Footscray,175.0
13075.828571428661,2632.5304761904845,14920.0,15915.0,153.80000000001746,2572.6666666666642,929.3333333333358,278.8571428571595,1612.0,16558.600000000093,6931.0,50.553333333333285,2781.2666666666046,589.9333333333343,1359.8666666666977,261.7333333333336,2002,Footscray,180.0
13356.0,2688.9333333333343,14878.399999999994,15276.0,264.4000000000233,2578.580952380951,950.1333333333387,278.8571428571595,2010.857142857043,18466.5,7606.600000000093,51.773333333333085,3157.8666666665813,600.5333333333328,1512.0666666667094,263.13333333333367,2003,Footscray,185.0
13636.171428571455,2745.3361904761987,14836.799999999988,14637.0,375.0000000000291,2584.4952380952363,970.9333333333416,278.8571428571595,2409.7142857142026,20374.399999999907,8282.200000000186,52.99333333333334,3534.466666666558,611.1333333333314,1664.266666666721,264.53333333333376,2004,Footscray,190.0
13916.34285714291,2801.7390476190485,14795.199999999997,13998.0,485.6000000000349,2590.4095238095215,991.7333333333372,278.8571428571595,2808.571428571362,22282.299999999814,8957.800000000047,54.21333333333314,3911.0666666665347,621.7333333333336,1816.4666666667326,265.93333333333385,2005,Footscray,200.0
14196.514285714366,2858.141904761913,14753.599999999991,13359.0,596.2000000000116,2596.3238095238084,1012.5333333333401,278.8571428571595,3207.4285714285215,24190.200000000186,9633.40000000014,55.43333333333294,4287.666666666628,632.3333333333321,1968.666666666686,267.3333333333335,2006,Footscray,220.0
14476.685714285704,2914.5447619047627,14712.0,12720.0,706.8000000000175,2602.2380952380936,1033.3333333333358,278.8571428571595,3606.285714285681,26098.100000000093,10309.0,56.653333333333194,4664.266666666605,642.9333333333343,2120.8666666666977,268.7333333333336,2007,Footscray,255.0
