region,year,median
Craigieburn - South,2000,175.0
Mickleham - Yuroke,2000,175.0
Craigieburn - North West,2000,175.0
Craigieburn - West,2000,175.0
Roxburgh Park (South) - Somerton,2000,175.0
Roxburgh Park - North,2000,175.0
Rutherglen,2000,130.0
Beechworth,2000,130.0
Chiltern - Indigo Valley,2000,130.0
Bayswater,2000,185.0
Knoxfield - Scoresby,2000,185.0
Lysterfield,2000,185.0
Rowville - Central,2000,185.0
Rowville - North,2000,185.0
Rowville - South,2000,185.0
Wantirna,2000,185.0
Wantirna South,2000,185.0
Boronia,2000,185.0
Ferntree Gully - North,2000,185.0
Ferntree Gully (South) - Upper Ferntree Gully,2000,185.0
The Basin,2000,185.0
Kyneton,2000,160.0
Woodend,2000,160.0
Gisborne,2000,160.0
Macedon,2000,160.0
Riddells Creek,2000,160.0
Romsey,2000,160.0
Templestowe,2000,230.0
Templestowe Lower,2000,230.0
Doncaster East - North,2000,230.0
Doncaster East - South,2000,230.0
Donvale - Park Orchards,2000,230.0
Warrandyte - Wonga Park,2000,230.0
Nunawading,2000,230.0
Braybrook,2000,160.0
Footscray,2000,160.0
Maribyrnong,2000,160.0
Seddon - Kingsville,2000,160.0
West Footscray - Tottenham,2000,160.0
Yarraville,2000,160.0
Bayswater North,2000,175.0
Croydon Hills - Warranwood,2000,175.0
Ringwood,2000,175.0
Ringwood East,2000,175.0
Ringwood North,2000,175.0
Croydon - East,2000,175.0
Croydon - West,2000,175.0
Croydon South,2000,175.0
Vermont,2000,175.0
Carlton,2000,280.0
Docklands,2000,280.0
East Melbourne,2000,280.0
Flemington Racecourse,2000,280.0
Kensington (Vic.),2000,280.0
Parkville,2000,280.0
South Yarra - West,2000,280.0
Melbourne CBD - East,2000,280.0
Melbourne CBD - North,2000,280.0
Melbourne CBD - West,2000,280.0
North Melbourne,2000,280.0
Royal Botanic Gardens Victoria,2000,280.0
Southbank (West) - South Wharf,2000,280.0
Southbank - East,2000,280.0
West Melbourne - Residential,2000,280.0
Carlton North - Princes Hill,2000,280.0
Diggers Rest,2000,160.0
Melton West,2000,160.0
Rockbank - Mount Cottrell,2000,160.0
Taylors Hill,2000,160.0
Burnside,2000,160.0
Burnside Heights,2000,160.0
Caroline Springs,2000,160.0
Brookfield,2000,160.0
Cobblebank - Strathtulloh,2000,160.0
Eynesbury - Exford,2000,160.0
Fraser Rise - Plumpton,2000,160.0
Hillside,2000,160.0
Kurunjang - Toolern Vale,2000,160.0
Melton,2000,160.0
Melton South - Weir Views,2000,160.0
Irymple,2000,145.0
Merbein,2000,145.0
Mildura Surrounds,2000,145.0
Red Cliffs,2000,145.0
Mildura - North,2000,145.0
Mildura - South,2000,145.0
Kilmore - Broadford,2000,135.0
Nagambie,2000,135.0
Seymour,2000,135.0
Seymour Surrounds,2000,135.0
Yea,2000,135.0
Wallan,2000,135.0
Cobram,2000,130.0
Moira,2000,130.0
Numurkah,2000,130.0
Yarrawonga,2000,130.0
Hughesdale,2000,200.0
Ashwood - Chadstone,2000,200.0
Glen Waverley - East,2000,200.0
Glen Waverley - West,2000,200.0
Mount Waverley - North,2000,200.0
Mount Waverley - South,2000,200.0
Mulgrave,2000,200.0
Oakleigh - Huntingdale,2000,200.0
Wheelers Hill,2000,200.0
Clayton (North) - Notting Hill,2000,200.0
Clayton - Central,2000,200.0
Ascot Vale,2000,190.0
Flemington,2000,190.0
Moonee Ponds,2000,190.0
Essendon (West) - Aberfeldie,2000,190.0
Essendon - East,2000,190.0
Airport West,2000,190.0
Essendon Airport,2000,190.0
Niddrie - Essendon West,2000,190.0
Strathmore,2000,190.0
Avondale Heights,2000,190.0
Keilor East,2000,190.0
Bacchus Marsh Surrounds,2000,145.0
Bacchus Marsh,2000,145.0
Castlemaine,2000,130.0
Glenelg (Vic.),2000,125.0
Southern Grampians,2000,125.0
Moyne - West,2000,125.0
Warrnambool - North,2000,125.0
Warrnambool - South,2000,125.0
Alexandra,2000,125.0
Euroa,2000,125.0
Mansfield (Vic.),2000,125.0
Kinglake,2000,125.0
St Arnaud,2000,115.0
Stawell,2000,115.0
Yarriambiack,2000,115.0
Foster,2000,110.0
Wilsons Promontory,2000,110.0
Churchill,2000,110.0
Hamilton (Vic.),2000,100.0
Armadale,2000,230.0
Prahran - Windsor,2000,230.0
Toorak,2000,230.0
South Yarra - North,2000,230.0
South Yarra - South,2000,230.0
Malvern - Glen Iris,2000,230.0
Malvern East,2000,230.0
Winchelsea,2000,165.0
Lorne - Anglesea,2000,165.0
Torquay,2000,165.0
Robinvale,2000,140.0
Swan Hill,2000,140.0
Towong,2000,91.0
Wangaratta,2000,130.0
Wangaratta Surrounds,2000,130.0
Alps - West,2000,120.0
Maffra,2000,120.0
Rosedale,2000,120.0
Sale,2000,120.0
Yarram,2000,120.0
Blackburn,2000,195.0
Blackburn South,2000,195.0
Box Hill,2000,195.0
Box Hill North,2000,195.0
Burwood (Vic.),2000,195.0
Burwood East,2000,195.0
Surrey Hills (East) - Mont Albert,2000,195.0
Forest Hill,2000,195.0
Mitcham (Vic.),2000,195.0
Vermont South,2000,195.0
Bundoora - North,2000,180.0
Bundoora - West,2000,180.0
Mill Park - North,2000,180.0
Mill Park - South,2000,180.0
Thomastown,2000,180.0
Whittlesea,2000,180.0
Epping - East,2000,180.0
Epping - South,2000,180.0
Epping (Vic.) - West,2000,180.0
South Morang - North,2000,180.0
South Morang - South,2000,180.0
Wollert,2000,180.0
Doreen - North,2000,180.0
Doreen - South,2000,180.0
Lalor - East,2000,180.0
Lalor - West,2000,180.0
Mernda - North,2000,180.0
Mernda - South,2000,180.0
West Wodonga,2000,150.0
Baranduda - Leneva,2000,150.0
Wodonga,2000,150.0
Hoppers Crossing - North,2000,170.0
Hoppers Crossing - South,2000,170.0
Werribee - South,2000,170.0
Point Cook - East,2000,170.0
Point Cook - South,2000,170.0
Werribee - East,2000,170.0
Werribee - West,2000,170.0
Manor Lakes - Quandong,2000,170.0
Point Cook - North East,2000,170.0
Point Cook - North West,2000,170.0
Tarneit (West) - Mount Cottrell,2000,170.0
Tarneit - Central,2000,170.0
Tarneit - North,2000,170.0
Tarneit - South,2000,170.0
Truganina - North,2000,170.0
Truganina - South East,2000,170.0
Truganina - South West,2000,170.0
Wyndham Vale - North,2000,170.0
Wyndham Vale - South,2000,170.0
Abbotsford,2000,260.0
Collingwood,2000,260.0
Fitzroy,2000,260.0
Fitzroy North,2000,260.0
Clifton Hill - Alphington,2000,260.0
Richmond (South) - Cremorne,2000,260.0
Richmond - North,2000,260.0
Upper Yarra Valley,2000,165.0
Chirnside Park,2000,165.0
Healesville - Yarra Glen,2000,165.0
Kilsyth,2000,165.0
Lilydale - Coldstream,2000,165.0
Monbulk - Silvan,2000,165.0
Montrose,2000,165.0
Mooroolbark,2000,165.0
Mount Dandenong - Olinda,2000,165.0
Mount Evelyn,2000,165.0
Upwey - Tecoma,2000,165.0
Wandin - Seville,2000,165.0
Yarra Valley,2000,165.0
Bright - Mount Beauty,2001,130.0
Myrtleford,2001,130.0
