region,median_2023,median_predictions_2026,Growth_Rate (%)
WyndhamVale-South,480.0,444.83797276871144,-7.325422339851784
CarrumDowns,500.0,525.4389868453096,5.0877973690619225
Frankston,500.0,482.86673268518257,-3.426653462963486
FrankstonNorth,500.0,487.73094037500505,-2.4538119249989903
FrankstonSouth,500.0,495.48973032890444,-0.9020539342191113
Langwarrin,500.0,516.8063654075871,3.361273081517425
Seaford(Vic.),500.0,471.6054838640331,-5.6789032271933815
Skye-Sandhurst,500.0,477.1344714419904,-4.57310571160192
Ararat,370.0,335.48004251537304,-9.329718239088367
AraratSurrounds,370.0,364.6873878004599,-1.4358411350108449
Horsham,350.0,380.1028024494806,8.600800699851593
HorshamSurrounds,350.0,427.8135839601224,22.23245256003497
NhillRegion,288.0,356.19534656215285,23.678939778525297
StArnaud,340.0,317.3466325784016,-6.662755123999522
Stawell,340.0,337.8958872076182,-0.6188567036417012
Yarriambiack,340.0,394.555387413709,16.04570218050265
Irymple,380.0,380.10154783694725,0.026723114986117777
Merbein,380.0,363.4970483869188,-4.342882003442427
MilduraSurrounds,380.0,319.90686628424174,-15.81398255677849
RedCliffs,380.0,341.6592619825965,-10.089667899316714
Mildura-North,380.0,390.7311152061619,2.8239776858320833
Mildura-South,380.0,422.21791430044186,11.1099774474847
Buloke,305.0,352.1047041684161,15.444165301120035
Gannawarra,305.0,302.9808738630875,-0.6620085694795143
Kerang,305.0,286.97301203306904,-5.910487858010151
Robinvale,390.0,273.0753378957555,-29.980682590831915
SwanHill,390.0,385.90245892263727,-1.050651558298137
SwanHillSurrounds,305.0,314.1077568323823,2.986149781108944
Echuca,410.0,400.83308662775426,-2.2358325298160353
Kyabram,410.0,383.1804324154357,-6.54135794745471
Lockington-Gunbower,410.0,379.757687254418,-7.3761738403858566
Rochester,410.0,341.9771977299164,-16.590927382947225
Rushworth,410.0,348.43900350125165,-15.014877194816673
Cobram,420.0,292.990332597768,-30.240397000531434
Moira,420.0,361.935105023132,-13.824974994492381
Numurkah,420.0,370.10365722730296,-11.880081612546913
Yarrawonga,420.0,370.6978377648793,-11.73861005598112
Mooroopna,400.0,342.8136432875765,-14.296589178105876
Shepparton-North,400.0,460.3098726472857,15.077468161821429
SheppartonSurrounds-East,400.0,353.4190855621898,-11.645228609452545
SheppartonSurrounds-West,400.0,404.0783866593249,1.0195966648312265
Kialla,400.0,344.8720902100498,-13.781977447487549
Shepparton-SouthEast,400.0,372.5534999380825,-6.861625015479376
Glenelg(Vic.),410.0,379.0062831263822,-7.559443139906784
Hamilton(Vic.),340.0,362.89482072360033,6.733770801058922
SouthernGrampians,410.0,382.0616468099903,-6.814232485368221
Camperdown,363.0,349.00747214899627,-3.854690868045104
Colac,410.0,405.5386441572525,-1.0881355714018244
ColacSurrounds,410.0,392.41247306920775,-4.289640714827378
Corangamite-North,363.0,379.0800989149701,4.429779315418762
Corangamite-South,363.0,356.0198608916628,-1.9229033356300822
Otway,410.0,365.7703553977219,-10.78771819567758
Moyne-East,363.0,345.8641844238133,-4.7206103515665845
Moyne-West,410.0,421.0264772545529,2.689384696232415
Warrnambool-North,410.0,478.871501154038,16.79792711074098
Warrnambool-South,410.0,442.9518368313818,8.037033373507755
