region,median_2023,median_predictions_2026,Growth_Rate (%)
Berwick-North,525.0,505.62,-3.6914285714285704
Doveton,525.0,490.72,-6.529523809523805
Hallam,525.0,499.15,-4.9238095238095285
NarreWarrenNorth,525.0,516.17,-1.6819047619047698
EndeavourHills-North,525.0,511.57,-2.5580952380952393
EndeavourHills-South,525.0,514.85,-1.933333333333329
NarreWarren-NorthEast,525.0,518.84,-1.1733333333333273
NarreWarren-SouthWest,525.0,509.52,-2.948571428571432
Berwick-SouthEast,525.0,521.05,-0.752380952380961
Berwick-SouthWest,525.0,495.65,-5.590476190476195
Cranbourne,525.0,504.26,-3.9504761904761923
CranbourneSouth,525.0,467.45,-10.961904761904764
CranbourneWest,525.0,538.78,2.6247619047618995
Lynbrook-Lyndhurst,525.0,531.89,1.3123809523809498
Pearcedale-Tooradin,525.0,476.84,-9.173333333333337
NarreWarrenSouth-East,525.0,514.94,-1.9161904761904658
NarreWarrenSouth-West,525.0,508.12,-3.2152380952380946
ClydeNorth-North,525.0,485.93,-7.441904761904761
ClydeNorth-South,525.0,515.65,-1.780952380952385
CranbourneEast-North,525.0,526.31,0.24952380952379916
CranbourneEast-South,525.0,532.9,1.5047619047619003
CranbourneNorth-East,525.0,508.03,-3.2323809523809572
CranbourneNorth-West,525.0,484.75,-7.666666666666666
HamptonPark-East,525.0,505.7,-3.6761904761904782
HamptonPark-West,525.0,497.43,-5.25142857142857
DandenongNorth,470.0,500.01,6.385106382978721
NobleParkNorth,470.0,465.71,-0.9127659574468129
Springvale,470.0,488.11,3.8531914893617047
SpringvaleSouth,470.0,474.14,0.8808510638297844
NoblePark-East,470.0,513.04,9.157446808510631
NoblePark-West,470.0,480.61,2.2574468085106414
Dandenong-North,470.0,488.72,3.982978723404261
Dandenong-South,470.0,455.62,-3.0595744680851054
Keysborough-North,470.0,475.78,1.2297872340425473
Keysborough-South,470.0,538.3,14.531914893617012
Ashwood-Chadstone,580.0,553.73,-4.529310344827583
GlenWaverley-East,580.0,559.35,-3.560344827586203
GlenWaverley-West,580.0,576.2,-0.6551724137930955
MountWaverley-North,580.0,569.45,-1.8189655172413715
MountWaverley-South,580.0,553.38,-4.589655172413794
Mulgrave,580.0,542.91,-6.394827586206903
Oakleigh-Huntingdale,580.0,550.04,-5.165517241379317
WheelersHill,580.0,553.31,-4.601724137931043
Clayton(North)-NottingHill,580.0,553.15,-4.629310344827591
Clayton-Central,580.0,568.1,-2.0517241379310303
Ardeer-Albion,449.0,486.41,8.331848552338537
Cairnlea,449.0,495.61,10.380846325167042
Delahey,449.0,484.95,8.006681514476611
KeilorDowns,449.0,485.86,8.209354120267264
KingsPark(Vic.),449.0,475.84,5.977728285077945
StAlbans-North,449.0,485.63,8.158129175946547
StAlbans-South,449.0,480.65,7.0489977728285025
Sunshine,449.0,489.54,9.028953229398669
SunshineNorth,449.0,496.91,10.67037861915368
SunshineWest,449.0,494.52,10.1380846325167
Sydenham,449.0,510.63,13.726057906458797
TaylorsLakes,449.0,482.2,7.394209354120266
DeerPark,449.0,486.68,8.391982182628063
Derrimut,449.0,459.6,2.360801781737199
Altona,500.0,516.47,3.2940000000000054
AltonaMeadows,500.0,509.62,1.924000000000001
AltonaNorth,500.0,517.68,3.53599999999999
Newport,500.0,539.16,7.831999999999993
Seabrook,500.0,509.42,1.884000000000003
Williamstown,500.0,541.83,8.366000000000009
Braybrook,500.0,549.63,9.925999999999998
Footscray,500.0,551.05,10.209999999999992
Maribyrnong,500.0,545.31,9.061999999999989
Seddon-Kingsville,500.0,528.99,5.798000000000002
WestFootscray-Tottenham,500.0,524.93,4.98599999999999
Yarraville,500.0,538.36,7.672000000000002
BacchusMarsh,440.0,500.9,13.840909090909086
MeltonWest,470.0,500.68,6.527659574468086
Rockbank-MountCottrell,470.0,461.0,-1.9148936170212765
TaylorsHill,470.0,514.83,9.538297872340435
Burnside,470.0,509.01,8.299999999999997
BurnsideHeights,470.0,514.34,9.434042553191496
CarolineSprings,470.0,522.9,11.255319148936167
Brookfield,470.0,477.19,1.5297872340425527
Cobblebank-Strathtulloh,470.0,490.15,4.2872340425531865
Eynesbury-Exford,470.0,389.1,-17.212765957446805
FraserRise-Plumpton,470.0,428.04,-8.92765957446808
Hillside,470.0,480.81,2.3000000000000007
Kurunjang-ToolernVale,470.0,452.87,-3.6446808510638284
Melton,470.0,431.73,-8.142553191489357
MeltonSouth-WeirViews,470.0,412.14,-12.310638297872343
HoppersCrossing-North,480.0,508.58,5.954166666666663
HoppersCrossing-South,480.0,495.74,3.2791666666666686
Laverton,500.0,548.15,9.629999999999995
Werribee-South,480.0,502.52,4.691666666666663
PointCook-East,480.0,535.51,11.564583333333331
PointCook-South,480.0,553.36,15.283333333333335
Werribee-East,480.0,496.43,3.422916666666668
Werribee-West,480.0,493.95,2.906249999999998
ManorLakes-Quandong,480.0,498.33,3.8187499999999965
PointCook-NorthEast,480.0,516.42,7.5874999999999915
PointCook-NorthWest,480.0,481.96,0.40833333333332905
Tarneit(West)-MountCottrell,480.0,536.8,11.833333333333323
Tarneit-Central,480.0,567.49,18.227083333333336
Tarneit-North,480.0,509.25,6.09375
Tarneit-South,480.0,508.17,5.868750000000003
Truganina-North,480.0,517.08,7.7250000000000085
Truganina-SouthEast,480.0,523.2,9.000000000000009
Truganina-SouthWest,480.0,531.89,10.810416666666663
WyndhamVale-North,480.0,498.95,3.9479166666666643
WyndhamVale-South,480.0,496.86,3.5125000000000033
CarrumDowns,500.0,509.01,1.801999999999998
Frankston,500.0,507.72,1.5440000000000054
FrankstonNorth,500.0,492.74,-1.4519999999999982
FrankstonSouth,500.0,510.07,2.013999999999999
Langwarrin,500.0,512.16,2.4319999999999937
Seaford(Vic.),500.0,511.9,2.3799999999999955
Skye-Sandhurst,500.0,507.75,1.55
Ararat,370.0,402.32,8.735135135135133
AraratSurrounds,370.0,356.66,-3.6054054054053983
Horsham,350.0,435.31,24.374285714285715
HorshamSurrounds,350.0,362.24,3.49714285714286
NhillRegion,288.0,298.26,3.562499999999997
StArnaud,340.0,361.11,6.208823529411768
Stawell,340.0,423.68,24.611764705882354
Yarriambiack,340.0,339.79,-0.06176470588234692
Irymple,380.0,455.79,19.944736842105268
Merbein,380.0,426.04,12.115789473684217
MilduraSurrounds,380.0,296.78,-21.90000000000001
RedCliffs,380.0,370.27,-2.5605263157894784
Mildura-North,380.0,386.8,1.7894736842105292
Mildura-South,380.0,405.65,6.749999999999994
Buloke,305.0,322.98,5.8950819672131205
Gannawarra,305.0,368.02,20.66229508196721
Kerang,305.0,393.43,28.99344262295082
Robinvale,390.0,336.56,-13.702564102564102
SwanHill,390.0,401.95,3.064102564102561
SwanHillSurrounds,305.0,352.93,15.71475409836066
Echuca,410.0,408.93,-0.2609756097560959
Kyabram,410.0,403.12,-1.678048780487804
Lockington-Gunbower,410.0,405.21,-1.1682926829268343
Rochester,410.0,413.22,0.7853658536585432
Rushworth,410.0,380.91,-7.095121951219506
Cobram,420.0,340.45,-18.940476190476193
Moira,420.0,396.61,-5.569047619047616
Numurkah,420.0,403.12,-4.019047619047618
Yarrawonga,420.0,385.44,-8.22857142857143
Mooroopna,400.0,384.26,-3.9350000000000023
Shepparton-North,400.0,501.22,25.305000000000007
SheppartonSurrounds-East,400.0,402.07,0.5174999999999983
SheppartonSurrounds-West,400.0,408.89,2.2224999999999966
Kialla,400.0,436.62,9.155000000000001
Shepparton-SouthEast,400.0,443.95,10.987499999999997
Glenelg(Vic.),410.0,368.89,-10.026829268292687
Hamilton(Vic.),340.0,418.07,22.961764705882352
SouthernGrampians,410.0,380.97,-7.080487804878042
Camperdown,363.0,425.59,17.242424242424235
Colac,410.0,413.67,0.8951219512195161
ColacSurrounds,410.0,429.11,4.660975609756101
Corangamite-North,363.0,424.93,17.060606060606062
Corangamite-South,363.0,406.81,12.068870523415978
Otway,410.0,396.16,-3.375609756097555
Moyne-East,363.0,435.2,19.88980716253443
Moyne-West,410.0,474.37,15.7
Warrnambool-North,410.0,500.1,21.975609756097565
Warrnambool-South,410.0,511.0,24.634146341463413
