Cranbourne East - North,1 178,1 284,1 439,1 975,2 074
Cranbourne East - South,369,509,604,947,1 010
Cranbourne North - East,634,737,862,1 071,1 081
Cranbourne North - West,595,640,656,862,826
Hampton Park - East,649,670,714,831,796
Hampton Park - West,734,761,790,1 029,947
Clarinda - Oakleigh South,875,879,916,1 023,1 010
Clayton South,1 492,1 577,1 608,1 967,1 910
Dandenong North,1 370,1 469,1 504,1 849,1 762
Dingley Village,780,771,770,807,810
Noble Park North,529,539,558,637,612
Springvale,2 438,2 555,2 629,3 014,2 877
Springvale South,642,643,651,733,681
Noble Park - East,972,1 096,1 051,1 222,1 172
Noble Park - West,1 096,1 206,1 205,1 412,1 334
Dandenong - North,2 621,2 795,2 874,3 426,3 219
Dandenong - South,4 234,4 426,4 558,5 024,4 996
Keysborough - North,1 218,1 276,1 315,1 445,1 374
Keysborough - South,1 144,1 325,1 457,1 700,1 742
Ashwood - Chadstone,1 727,1 764,1 829,1 984,1 951
Glen Waverley - East,2 077,2 124,2 145,2 287,2 380
Glen Waverley - West,2 398,2 518,2 596,2 819,2 812
Mount Waverley - North,1 582,1 600,1 644,1 831,1 851
Mount Waverley - South,2 855,2 928,2 978,3 184,3 159
Mulgrave,2 252,2 297,2 299,2 451,2 424
Oakleigh - Huntingdale,2 808,2 879,2 984,3 251,3 194
Wheelers Hill,2 072,2 159,2 217,2 394,2 398
Clayton (North) - Notting Hill,1 422,1 483,1 581,1 823,1 795
Clayton - Central,1 206,1 244,1 290,1 685,1 630
Ardeer - Albion,537,601,602,755,671
Cairnlea,657,683,726,828,792
Delahey,406,409,454,501,484
Keilor Downs,878,882,892,1 003,924
Kings Park (Vic.),508,547,600,780,700
St Albans - North,1 496,1 642,1 687,2 071,1 839
St Albans - South,989,1 079,1 133,1 415,1 249
Sunshine,1 083,1 085,1 156,1 363,1 304
Sunshine North,1 044,1 119,1 199,1 477,1 394
Sunshine West,1 755,1 840,1 881,2 221,2 004
Sydenham,788,796,799,950,868
Taylors Lakes,1 424,1 409,1 405,1 485,1 480
Deer Park,1 060,1 108,1 149,1 459,1 316
Derrimut,1 016,1 006,1 062,1 290,1 317
Altona,1 081,1 105,1 159,1 269,1 239
Altona Meadows,939,956,969,1 100,1 012
Altona North,1 337,1 451,1 557,1 784,1 723
Newport,1 375,1 404,1 501,1 612,1 574
Seabrook,298,304,312,340,295
Williamstown,2 083,2 096,2 153,2 275,2 194
Braybrook,1 488,1 616,1 755,2 242,1 942
Footscray,2 037,2 104,2 204,2 578,2 353
Maribyrnong,1 078,1 165,1 223,1 422,1 407
Seddon - Kingsville,651,667,708,757,729
West Footscray - Tottenham,1 113,1 126,1 164,1 303,1 206
Yarraville,1 306,1 345,1 418,1 478,1 475
Bacchus Marsh,1 478,1 536,1 657,1 943,1 969
Melton West,822,961,1 072,1 460,1 290
Rockbank - Mount Cottrell,767,1 073,1 538,2 572,3 009
Taylors Hill,1 262,1 269,1 307,1 490,1 485
Burnside,236,258,304,382,375
Burnside Heights,396,413,431,501,492
Caroline Springs,1 502,1 552,1 638,1 861,1 836
Brookfield,439,464,522,706,639
Cobblebank - Strathtulloh,171,286,438,824,960
Eynesbury - Exford,120,108,125,158,155
Fraser Rise - Plumpton,428,477,554,844,1 009
Hillside,1 229,1 230,1 237,1 382,1 339
Kurunjang - Toolern Vale,578,608,665,836,785
Melton,665,686,717,876,781
Melton South - Weir Views,491,542,667,1 163,1 112
Hoppers Crossing - North,1 753,1 782,1 868,2 157,2 023
Hoppers Crossing - South,1 010,1 057,1 075,1 355,1 234
Laverton,1 588,1 816,1 908,2 355,2 258
Werribee - South,1 725,1 792,1 929,2 229,2 219
Point Cook - East,1 383,1 622,1 755,2 136,2 093
Point Cook - South,1 228,1 358,1 459,1 778,1 709
Werribee - East,961,979,1 010,1 258,1 109
Werribee - West,755,885,1 064,1 586,1 578
Manor Lakes - Quandong,446,525,572,825,835
Point Cook - North East,1 208,1 235,1 301,1 449,1 385
Point Cook - North West,709,730,752,904,859
Tarneit (West) - Mount Cottrell,226,457,625,1 284,1 531
Tarneit - Central,2 258,2 587,2 736,3 775,3 622
Tarneit - North,188,311,524,1 170,1 371
Tarneit - South,738,860,897,1 211,1 138
Truganina - North,239,449,779,1 622,1 957
Truganina - South East,792,953,1 053,1 448,1 403
Truganina - South West,1 690,1 898,1 988,2 712,2 560
Wyndham Vale - North,219,303,381,700,699
Wyndham Vale - South,577,561,627,776,702
Carrum Downs,2 111,2 198,2 278,2 583,2 522
Frankston,1 981,1 970,2 014,2 227,2 069
Frankston North,702,753,821,1 070,905
Frankston South,1 399,1 439,1 509,1 596,1 575
Langwarrin,1 692,1 694,1 769,1 879,1 812
Seaford (Vic.),1 536,1 491,1 553,1 677,1 666
Skye - Sandhurst,898,877,893,963,931
Dromana,1 092,1 123,1 250,1 381,1 346
Flinders,1 019,1 008,1 015,1 067,1 106
Hastings - Somers,1 436,1 463,1 570,1 767,1 756
Mount Eliza,2 041,2 085,2 133,2 201,2 110
Mount Martha,1 619,1 688,1 725,1 845,1 848
Point Nepean,1 799,1 843,1 948,2 097,2 081
Rosebud - McCrae,1 434,1 460,1 543,1 717,1 670
Somerville,1 874,1 877,1 916,2 112,2 115
Mornington - East,1 367,1 433,1 583,1 725,1 690
Mornington - West,1 275,1 332,1 374,1 371,1 349
Ararat,457,437,456,516,502
Ararat Surrounds,564,577,595,624,626
Horsham,1 381,1 409,1 411,1 427,1 436
Horsham Surrounds,665,672,677,701,716
