Region,2018,2019,2020,2021,2022,2023
Reservoir - North West,2 307.2,2 299.3,2 284,2 181.4,2 144.5,2 165.5
Reservoir - South East,3 212.3,3 224.5,3 206.8,3 096.7,3 116.8,3 214
Reservoir - South West,2 660.4,2 657.2,2 630.9,2 532.4,2 535.6,2 618.5
Eltham,1 237.9,1 239.3,1 237.3,1 216.5,1 207.1,1 206.3
Hurstbridge,244.3,244.2,244.7,240.9,238.6,237.8
Kinglake,12.9,13,13.1,13.3,13.5,13.6
Panton Hill - St Andrews,18.5,18.2,17.9,17.5,17.7,17.6
Plenty - Yarrambat,338.6,338.9,335.3,327,324,328.7
Research - North Warrandyte,141,140.6,140.6,140.3,140,140.2
Wattle Glen - Diamond Creek,540.8,540.5,543.5,542,538.1,542.3
Bundoora - North,1 697.8,1 670.4,1 645.8,1 574.5,1 588.8,1 648.6
Bundoora - West,2 527.6,2 530.4,2 524.5,2 436.2,2 462.8,2 553.8
Mill Park - North,2 285.7,2 270.8,2 246,2 168.1,2 128.9,2 144.6
Mill Park - South,2 484.9,2 443.7,2 413.3,2 300.1,2 265.2,2 289.7
Thomastown,1 461.2,1 455,1 441.8,1 375.6,1 361.4,1 375.3
Wallan,36.9,39.6,42.4,45.2,48.6,51.8
Whittlesea,30.6,31.7,32.9,36.1,41.4,47.1
Epping - East,1 793.1,1 792.7,1 775.4,1 707.9,1 695.2,1 718.9
Epping - South,553.4,552.3,545.3,521.6,509.4,523
Epping (Vic.) - West,1 689.6,1 712.3,1 706.1,1 669,1 685.8,1 726
South Morang - North,944.6,949,944,927.4,926.7,939.4
South Morang - South,1 648.8,1 654.2,1 660,1 615.7,1 602.4,1 625.4
Wollert,269.9,321.2,389.2,460.3,524.1,570.7
Doreen - North,1 679.5,1 701.9,1 729,1 746.3,1 770.5,1 812.6
Doreen - South,1 692.1,1 865.5,2 018.4,2 109.6,2 210.3,2 288.6
Lalor - East,3 200.5,3 187,3 137.3,3 016.7,2 961.9,2 998
Lalor - West,1 572.3,1 584.5,1 591.1,1 559.4,1 561.5,1 581.8
Mernda - North,686.8,731.2,755,760.3,767.2,774.9
Mernda - South,1 174.4,1 274.1,1 349.3,1 401,1 455.8,1 509.7
Airport West,2 196.3,2 255.7,2 248.2,2 215.4,2 230.2,2 275.6
Essendon Airport,1.8,2.4,3.3,4.2,4.2,4.2
Keilor,514.6,511.2,501.3,490.9,487.7,488.9
Niddrie - Essendon West,2 677.4,2 709.5,2 728.1,2 683.1,2 702,2 782
Strathmore,2 477.8,2 487.9,2 479.7,2 438.7,2 457.3,2 490.8
Avondale Heights,2 302,2 334.8,2 337.3,2 306.1,2 291.3,2 324
