Point Cook - East,540,563,625,636,640,640
Point Cook - South,419,480,480,480,582,582
Werribee - East,1 149,1 174,1 201,1 214,1 229,1 243
Werribee - West,573,622,647,688,703,790
Manor Lakes - Quandong,163,163,166,174,175,176
Point Cook - North East,387,393,399,399,497,500
Point Cook - North West,227,288,322,335,335,337
Tarneit (West) - Mount Cottrell,3,5,13,18,30,46
Tarneit - Central,836,884,897,956,959,1 039
Tarneit - North,2,15,17,18,35,53
Tarneit - South,692,727,755,774,778,782
Truganina - North,5,5,5,5,5,6
Truganina - South East,206,208,244,244,244,244
Truganina - South West,701,712,723,727,729,729
Wyndham Vale - North,91,127,138,148,182,235
Wyndham Vale - South,158,158,161,162,163,166
Carrum Downs,1 609,1 717,1 757,1 800,1 834,1 848
Frankston,2 757,2 783,2 812,2 856,2 893,2 936
Frankston North,845,872,882,891,914,931
Frankston South,927,927,931,940,936,941
Langwarrin,1 245,1 308,1 323,1 381,1 431,1 449
Seaford (Vic.),1 798,1 825,1 860,1 900,1 939,1 980
Skye - Sandhurst,430,431,436,438,478,494
Dromana,1 027,1 121,1 175,1 223,1 339,1 397
Flinders,22,23,23,25,25,25
Hastings - Somers,1 358,1 385,1 618,1 632,1 635,1 640
Mount Eliza,247,251,256,262,264,265
Mount Martha,1 143,1 180,1 207,1 227,1 238,1 242
Point Nepean,506,509,516,530,531,536
Rosebud - McCrae,1 247,1 342,1 428,1 495,1 560,1 620
Somerville,1 062,1 098,1 102,1 114,1 113,1 107
Mornington - East,429,479,495,512,522,529
Mornington - West,732,839,901,954,989,1 051
Ararat,372,372,372,372,372,372
Ararat Surrounds,5,5,5,5,5,5
Horsham,428,436,439,441,449,459
Horsham Surrounds,5,5,5,5,5,5
Nhill Region,108,108,108,108,108,108
St Arnaud,53,53,53,53,53,53
Stawell,149,149,149,149,149,151
West Wimmera,30,30,30,30,30,30
Yarriambiack,70,70,71,71,71,71
Irymple,9,10,10,10,10,10
Merbein,72,72,72,72,72,72
Mildura Surrounds,37,37,37,37,37,37
