Region,2016,2017,2018,2019,2020
Noble Park North,42 670,43 704,45 231,45 550,45 274
Springvale,35 313,35 369,36 924,37 720,38 064
Springvale South,38 627,39 649,40 359,41 632,41 646
Noble Park - East,41 475,41 184,41 703,43 390,43 598
Noble Park - West,39 216,39 231,39 918,40 731,42 014
Dandenong - North,,,,,
Dandenong - South,,,,,
Keysborough - North,,,,,
Keysborough - South,,,,,
Ashwood - Chadstone,47 663,47 564,49 496,50 605,51 534
Glen Waverley - East,40 853,40 000,40 903,41 614,42 330
Glen Waverley - West,41 681,40 629,41 184,42 153,43 674
Mount Waverley - North,44 025,44 434,44 299,46 068,47 156
Mount Waverley - South,46 505,46 393,47 729,49 174,50 250
Mulgrave,46 947,46 912,48 369,49 274,50 387
Oakleigh - Huntingdale,48 157,49 202,50 111,51 092,51 653
Wheelers Hill,45 732,45 197,45 504,46 840,46 578
Clayton (North) - Notting Hill,,,,,
Clayton - Central,,,,,
Ardeer - Albion,41 249,41 578,43 579,44 333,45 439
Cairnlea,45 930,46 480,47 564,48 507,50 116
Delahey,43 764,45 109,46 529,47 704,48 822
Keilor Downs,45 343,46 550,46 823,48 481,49 390
Kings Park (Vic.),41 238,41 394,43 026,44 383,44 822
St Albans - North,37 273,37 904,37 761,39 148,39 032
St Albans - South,37 374,37 108,37 770,39 238,39 537
Sunshine,39 625,40 008,41 723,42 718,42 555
Sunshine North,38 648,38 981,40 282,41 568,42 854
Sunshine West,41 296,41 970,43 417,44 582,45 471
Sydenham,46 099,46 909,47 777,49 930,50 474
Taylors Lakes,48 719,49 266,51 181,53 445,54 126
Deer Park,,,,,
Derrimut,,,,,
Altona,53 532,54 168,57 585,60 433,61 906
Altona Meadows,49 358,50 018,52 072,53 710,55 057
Altona North,49 643,51 219,53 368,56 991,58 645
Newport,62 029,63 703,66 161,69 816,72 348
Seabrook,50 940,51 243,52 078,53 840,55 087
Williamstown,61 220,62 563,63 892,65 886,67 423
Braybrook,42 143,43 162,43 989,45 758,47 576
Footscray,43 427,44 970,46 955,49 243,50 830
Maribyrnong,50 850,51 291,52 575,54 054,55 346
Seddon - Kingsville,58 898,60 578,63 841,66 372,68 864
West Footscray - Tottenham,48 682,50 429,51 551,54 086,55 705
Yarraville,61 872,64 295,66 233,69 410,71 512
Bacchus Marsh,50 057,51 733,53 816,55 049,56 505
Melton West,47 898,45 460,49 547,50 890,51 791
Rockbank - Mount Cottrell,39 657,43 924,48 697,51 869,54 381
Taylors Hill,51 444,52 300,53 453,55 206,56 042
Burnside,46 839,48 628,49 747,51 099,53 196
Burnside Heights,50 484,50 208,50 944,53 194,54 182
Caroline Springs,52 647,53 155,54 704,56 469,56 664
Brookfield,,,,,
Cobblebank - Strathtulloh,,,,,
Eynesbury - Exford,,,,,
Fraser Rise - Plumpton,,,,,
Hillside,,,,,
Kurunjang - Toolern Vale,,,,,
Melton,,,,,
Melton South - Weir Views,,,,,
Hoppers Crossing - North,46 861,47 372,48 776,50 021,50 553
Hoppers Crossing - South,44 684,44 762,45 768,46 357,46 594
Laverton,46 065,46 260,46 852,48 242,49 175
Werribee - South,48 154,50 542,52 000,54 254,54 507
Point Cook - East,53 423,53 208,53 150,54 778,56 636
Point Cook - South,55 248,55 310,57 871,59 244,60 784
Werribee - East,44 434,45 201,46 229,48 183,48 473
Werribee - West,49 162,50 388,52 436,54 038,54 788
Manor Lakes - Quandong,,,,,
Point Cook - North East,,,,,
Point Cook - North West,,,,,
Tarneit (West) - Mount Cottrell,,,,,
Tarneit - Central,,,,,
Tarneit - North,,,,,
Tarneit - South,,,,,
Truganina - North,,,,,
Truganina - South East,,,,,
Truganina - South West,,,,,
Wyndham Vale - North,,,,,
Wyndham Vale - South,,,,,
Carrum Downs,47 947,49 134,50 667,52 775,53 793
Frankston,44 744,46 119,47 388,49 025,50 097
Frankston North,43 275,44 348,45 692,47 096,48 248
Frankston South,48 048,49 128,51 192,52 775,53 597
Langwarrin,48 489,50 307,51 940,54 344,55 580
Seaford (Vic.),48 061,49 253,50 587,52 561,53 665
Skye - Sandhurst,51 691,52 393,54 210,56 067,56 506
Dromana,40 208,41 022,42 729,45 133,45 157
Flinders,43 818,44 455,47 280,48 001,49 267
Hastings - Somers,43 240,44 595,45 601,47 771,48 896
Mount Eliza,52 970,54 529,55 000,57 054,57 975
Mount Martha,46 597,49 040,49 556,51 240,52 230
Point Nepean,37 354,39 267,40 382,42 054,42 617
Rosebud - McCrae,37 336,37 748,39 596,41 225,41 760
Somerville,46 108,47 929,48 755,50 618,51 734
Mornington - East,,,,,
Mornington - West,,,,,
Ararat,41 089,41 957,43 904,46 014,46 330
Ararat Surrounds,35 444,40 640,41 086,47 161,47 026
Horsham,42 686,44 489,46 612,48 609,49 317
Horsham Surrounds,33 573,40 886,46 405,48 229,50 726
Nhill Region,34 734,42 083,45 952,47 884,49 436
St Arnaud,34 357,36 413,40 191,40 796,43 038
Stawell,39 828,40 395,42 677,46 277,46 736
West Wimmera,36 974,41 488,41 948,48 912,46 649
Yarriambiack,33 733,40 710,46 030,44 238,50 474
Irymple,42 622,43 111,45 791,48 528,48 543
Merbein,38 952,40 621,42 744,44 855,46 266
Mildura Surrounds,37 943,39 705,42 045,42 224,41 420
Red Cliffs,39 412,40 387,42 248,42 024,42 808
Mildura - North,40 723,41 417,43 297,44 735,42 156
Mildura - South,42 913,43 898,45 574,47 259,47 345
Buloke,28 996,37 000,40 423,40 194,43 604
Gannawarra,35 131,35 500,39 347,40 105,41 794
Kerang,36 422,38 204,39 727,41 578,42 710
Robinvale,37 243,39 272,43 082,40 631,35 390
Swan Hill,42 773,43 771,46 178,47 032,47 677
Swan Hill Surrounds,37 364,40 312,43 983,45 118,43 685
Echuca,42 933,43 457,44 986,46 573,47 359
Kyabram,38 735,40 467,42 832,43 561,44 447
Lockington - Gunbower,36 796,37 859,42 116,42 995,43 852
Rochester,37 002,39 859,42 188,42 145,42 969
Rushworth,33 363,36 368,38 359,39 503,39 808
Cobram,41 362,42 445,43 115,43 338,43 108
Moira,34 324,35 436,40 771,41 048,42 266
Numurkah,37 413,37 701,39 931,42 225,44 256
Yarrawonga,38 477,38 835,40 572,41 980,43 654
Mooroopna,42 178,43 202,44 321,45 031,45 846
Shepparton - North,44 395,45 470,47 629,49 055,50 636
Shepparton Surrounds - East,40 539,38 255,42 574,43 882,44 524
Shepparton Surrounds - West,39 055,39 553,41 983,44 940,45 328
Kialla,,,,,
Shepparton - South East,,,,,
Glenelg (Vic.),40 473,41 851,42 273,45 234,44 969
Hamilton (Vic.),39 889,41 490,42 871,45 492,46 493
Portland,43 902,45 040,46 812,47 803,47 953
Southern Grampians,38 141,40 889,42 664,45 499,43 994
Camperdown,40 088,40 419,42 348,44 698,47 411
Colac,43 141,44 108,45 879,47 628,48 073
Colac Surrounds,36 725,37 876,40 060,41 860,43 952
Corangamite - North,38 679,39 477,42 284,45 668,47 819
Corangamite - South,36 424,36 076,36 852,40 261,43 565
Otway,33 020,32 563,33 929,36 219,36 510
Moyne - East,40 053,41 244,44 000,46 071,47 120
Moyne - West,41 751,42 159,43 136,45 256,46 843
Warrnambool - North,43 536,44 772,46 945,48 855,50 654
Warrnambool - South,42 330,43 439,45 726,47 242,49 080
