Region,2018,2019,2020,2021,2022,2023
Sydenham,----,----,----,----,1 080,877
Taylors Lakes,----,----,----,----,1 054,838
Deer Park,----,----,----,----,1 746,1 277
Derrimut,----,----,----,----,777,460
Altona,----,----,----,----,1 477,1 004
Altona Meadows,----,----,----,----,1 604,1 191
Altona North,----,----,----,----,1 647,1 307
Newport,----,----,----,----,2 086,1 583
Seabrook,----,----,----,----,450,372
Williamstown,----,----,----,----,1 546,1 167
Braybrook,----,----,----,----,2 353,1 574
Footscray,----,----,----,----,3 135,2 496
Maribyrnong,----,----,----,----,1 723,1 235
Seddon - Kingsville,----,----,----,----,1 293,877
West Footscray - Tottenham,----,----,----,----,1 596,1 294
Yarraville,----,----,----,----,1 776,1 309
Bacchus Marsh,----,----,----,----,2 285,1 653
Melton West,----,----,----,----,2 594,2 072
Rockbank - Mount Cottrell,----,----,----,----,5 694,4 951
Taylors Hill,----,----,----,----,1 581,938
Burnside,----,----,----,----,594,479
Burnside Heights,----,----,----,----,552,449
Caroline Springs,----,----,----,----,1 903,1 368
Brookfield,----,----,----,----,1 119,953
Cobblebank - Strathtulloh,----,----,----,----,1 583,1 398
Eynesbury - Exford,----,----,----,----,310,441
Fraser Rise - Plumpton,----,----,----,----,3 269,3 657
Hillside,----,----,----,----,1 112,839
Kurunjang - Toolern Vale,----,----,----,----,1 226,1 078
Melton,----,----,----,----,947,894
Melton South - Weir Views,----,----,----,----,3 344,3 033
Hoppers Crossing - North,----,----,----,----,1 732,1 445
Hoppers Crossing - South,----,----,----,----,1 848,1 625
Laverton,----,----,----,----,1 900,1 330
Werribee - South,----,----,----,----,2 374,1 706
Point Cook - East,----,----,----,----,2 690,1 963
Point Cook - South,----,----,----,----,2 465,1 759
Werribee - East,----,----,----,----,2 042,1 702
Werribee - West,----,----,----,----,4 601,4 014
Manor Lakes - Quandong,----,----,----,----,1 454,1 216
Point Cook - North East,----,----,----,----,1 520,1 189
Point Cook - North West,----,----,----,----,1 081,936
Tarneit (West) - Mount Cottrell,----,----,----,----,3 144,2 387
Tarneit - Central,----,----,----,----,3 128,2 191
Tarneit - North,----,----,----,----,2 359,2 038
Tarneit - South,----,----,----,----,1 483,1 077
Truganina - North,----,----,----,----,2 559,1 780
Truganina - South East,----,----,----,----,1 122,992
Truganina - South West,----,----,----,----,2 019,1 854
Wyndham Vale - North,----,----,----,----,2 384,1 987
Wyndham Vale - South,----,----,----,----,1 496,1 227
Carrum Downs,----,----,----,----,2 450,1 946
Frankston,----,----,----,----,2 840,2 333
Frankston North,----,----,----,----,2 570,1 915
Frankston South,----,----,----,----,1 871,1 368
Langwarrin,----,----,----,----,2 308,1 804
Seaford (Vic.),----,----,----,----,1 984,1 562
Skye - Sandhurst,----,----,----,----,1 358,985
Dromana,----,----,----,----,1 601,1 117
Flinders,----,----,----,----,489,303
Hastings - Somers,----,----,----,----,2 498,2 353
Mount Eliza,----,----,----,----,1 423,1 095
Mount Martha,----,----,----,----,1 774,1 267
Point Nepean,----,----,----,----,1 961,1 290
Rosebud - McCrae,----,----,----,----,2 265,1 719
Somerville,----,----,----,----,1 727,1 366
Mornington - East,----,----,----,----,1 528,1 098
Mornington - West,----,----,----,----,1 325,954
Ararat,----,----,----,----,602,464
Ararat Surrounds,----,----,----,----,252,166
Horsham,----,----,----,----,1 050,839
Horsham Surrounds,----,----,----,----,256,197
Nhill Region,----,----,----,----,442,352
St Arnaud,----,----,----,----,269,184
Stawell,----,----,----,----,556,412
West Wimmera,----,----,----,----,202,147
Yarriambiack,----,----,----,----,439,364
Irymple,----,----,----,----,530,422
Merbein,----,----,----,----,374,323
Mildura Surrounds,----,----,----,----,273,232
Red Cliffs,----,----,----,----,515,368
Mildura - North,----,----,----,----,1 968,1 490
Mildura - South,----,----,----,----,1 696,1 368
Buloke,----,----,----,----,425,263
Gannawarra,----,----,----,----,467,335
Kerang,----,----,----,----,324,243
Robinvale,----,----,----,----,202,144
Swan Hill,----,----,----,----,743,618
Swan Hill Surrounds,----,----,----,----,462,294
Echuca,----,----,----,----,1 395,1 061
Kyabram,----,----,----,----,793,570
Lockington - Gunbower,----,----,----,----,374,223
Rochester,----,----,----,----,337,178
Rushworth,----,----,----,----,384,275
Cobram,----,----,----,----,670,588
Moira,----,----,----,----,294,196
Numurkah,----,----,----,----,896,716
Yarrawonga,----,----,----,----,835,624
Mooroopna,----,----,----,----,886,656
Shepparton - North,----,----,----,----,2 046,1 476
Shepparton Surrounds - East,----,----,----,----,356,260
Shepparton Surrounds - West,----,----,----,----,968,691
Kialla,----,----,----,----,1 133,775
Shepparton - South East,----,----,----,----,1 675,1 252
Glenelg (Vic.),----,----,----,----,634,425
Hamilton (Vic.),----,----,----,----,712,556
Portland,----,----,----,----,856,636
Southern Grampians,----,----,----,----,438,342
Camperdown,----,----,----,----,311,214
Colac,----,----,----,----,792,676
Colac Surrounds,----,----,----,----,484,397
Corangamite - North,----,----,----,----,465,330
Corangamite - South,----,----,----,----,514,362
Otway,----,----,----,----,331,207
Moyne - East,----,----,----,----,608,487
Moyne - West,----,----,----,----,841,515
Warrnambool - North,----,----,----,----,1 835,1 472
Warrnambool - South,----,----,----,----,1 363,1 085
