Region,2018,2019,2020,2021,2022,2023
Melton South - Weir Views,8 424,9 082,9 906,10 546,11 669,----
Hoppers Crossing - North,14 143,13 902,13 578,12 913,12 517,----
Hoppers Crossing - South,13 478,13 322,13 058,12 366,11 952,----
Laverton,8 058,8 497,8 835,8 596,8 856,----
Werribee - South,9 098,9 983,10 844,11 202,11 575,----
Point Cook - East,10 973,12 111,12 853,13 096,13 444,----
Point Cook - South,11 813,12 257,12 400,12 321,12 528,----
Werribee - East,13 708,13 579,13 305,12 600,12 386,----
Werribee - West,10 771,12 396,14 178,15 645,17 515,----
Manor Lakes - Quandong,5 498,6 068,6 621,7 127,7 535,----
Point Cook - North East,10 161,10 197,10 122,9 780,9 820,----
Point Cook - North West,6 609,6 679,6 741,6 615,6 695,----
Tarneit (West) - Mount Cottrell,2 149,3 575,4 941,6 863,8 598,----
Tarneit - Central,18 378,18 851,19 140,19 206,19 236,----
Tarneit - North,1 698,2 805,3 922,5 046,6 368,----
Tarneit - South,7 328,7 445,7 512,7 365,7 498,----
Truganina - North,3 454,4 699,5 975,6 993,8 263,----
Truganina - South East,5 026,5 649,6 253,6 684,6 852,----
Truganina - South West,12 443,12 660,12 626,12 488,12 618,----
Wyndham Vale - North,3 681,4 501,5 467,6 345,7 376,----
Wyndham Vale - South,9 327,9 409,9 250,9 088,9 118,----
Carrum Downs,14 989,15 119,15 243,15 045,15 189,----
Frankston,16 092,16 188,16 254,15 923,15 826,----
Frankston North,12 737,12 770,12 790,12 669,12 637,----
Frankston South,11 626,11 620,11 475,11 196,11 184,----
Langwarrin,16 849,16 752,16 648,16 461,16 437,----
