Hoppers Crossing - South,1 364,1 674,1 924
Laverton,689,1 119,1 729
Werribee - South,1 046,1 258,2 086
Point Cook - East,446,1 279,1 998
Point Cook - South,517,1 283,1 773
Werribee - East,2 012,2 258,2 457
Werribee - West,767,927,2 265
Manor Lakes - Quandong,269,521,829
Point Cook - North East,934,1 072,1 132
Point Cook - North West,586,771,908
Tarneit (West) - Mount Cottrell,17,16,809
Tarneit - Central,1 401,2 018,2 320
Tarneit - North,----,10,600
Tarneit - South,420,758,881
Truganina - North,----,----,712
Truganina - South East,171,457,845
Truganina - South West,871,1 421,1 659
Wyndham Vale - North,286,430,1 109
Wyndham Vale - South,807,1 007,1 083
Carrum Downs,1 742,2 058,2 267
Frankston,3 600,3 953,4 124
Frankston North,2 602,2 641,2 789
Frankston South,960,1 019,1 087
Langwarrin,1 286,1 504,1 530
Seaford (Vic.),2 070,2 142,2 368
Skye - Sandhurst,518,709,709
Dromana,942,1 075,1 276
Flinders,224,228,246
Hastings - Somers,1 870,2 099,2 014
Mount Eliza,497,545,526
Mount Martha,747,852,848
Point Nepean,1 259,1 331,1 483
Rosebud - McCrae,1 979,2 187,2 389
Somerville,953,1 014,1 050
Mornington - East,1 048,1 045,1 023
Mornington - West,1 129,1 124,1 202
Ararat,745,801,847
Ararat Surrounds,118,131,128
Horsham,1 719,1 757,1 922
Horsham Surrounds,124,124,118
Nhill Region,431,404,460
St Arnaud,225,230,226
Stawell,728,731,756
West Wimmera,148,141,166
Yarriambiack,398,375,439
Irymple,334,341,415
Merbein,303,274,283
Mildura Surrounds,238,246,275
Red Cliffs,444,449,495
Mildura - North,2 555,2 795,2 967
Mildura - South,1 555,1 654,1 915
Buloke,366,351,388
Gannawarra,401,423,414
Kerang,389,350,375
Robinvale,372,344,434
Swan Hill,1 326,1 298,1 381
Swan Hill Surrounds,374,286,399
Echuca,1 602,1 528,1 683
Kyabram,898,863,937
Lockington - Gunbower,164,175,185
Rochester,241,261,285
Rushworth,230,221,224
Cobram,687,654,719
Moira,100,109,114
Numurkah,828,844,836
Yarrawonga,650,738,804
Mooroopna,952,957,1 010
Shepparton - North,2 168,2 300,2 505
Shepparton Surrounds - East,171,147,154
Shepparton Surrounds - West,651,673,702
Kialla,246,289,344
Shepparton - South East,1 789,1 898,2 181
Glenelg (Vic.),445,446,442
Hamilton (Vic.),988,966,1 019
Portland,1 129,1 182,1 139
Southern Grampians,320,271,339
Camperdown,308,308,294
Colac,1 127,1 170,1 323
Colac Surrounds,239,243,258
Corangamite - North,365,347,379
Corangamite - South,408,439,457
Otway,271,292,313
Moyne - East,374,365,403
Moyne - West,517,573,579
Warrnambool - North,2 080,2 229,2 332
Warrnambool - South,1 522,1 600,1 609
