route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"5-V06-mjp-5","","","Ballarat - Warrnambool Via Skipton","3","A57FB2","FFFFFF"
"5-V06-mjp-6","","","Ballarat - Warrnambool Via Skipton","3","A57FB2","FFFFFF"
"5-V06-mjp-7","","","Ballarat - Warrnambool Via Skipton","3","A57FB2","FFFFFF"
"5-V06-mjp-8","","","Ballarat - Warrnambool Via Skipton","3","A57FB2","FFFFFF"
"5-V06-mjp-9","","","Ballarat - Warrnambool Via Skipton","3","A57FB2","FFFFFF"
"5-V07-mjp-1","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-10","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-11","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-2","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-3","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-4","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-5","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-6","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-7","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-8","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V07-mjp-9","","","Melbourne - Barmah Via Shepparton & Heathcote","3","A57FB2","FFFFFF"
"5-V09-mjp-1","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-10","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-11","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-2","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-3","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-4","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-5","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-6","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-7","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-8","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V09-mjp-9","","","Batemans Bay - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V10-mjp-1","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-10","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-11","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-2","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-3","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-4","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-5","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-6","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-7","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-8","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V10-mjp-9","","","Melbourne - Barham Via Heathcote","3","A57FB2","FFFFFF"
"5-V11-mjp-2","","","Bendigo - Albury Via Wangaratta & Shepparton","3","A57FB2","FFFFFF"
"5-V11-mjp-3","","","Bendigo - Albury Via Wangaratta & Shepparton","3","A57FB2","FFFFFF"
"5-V11-mjp-4","","","Bendigo - Albury Via Wangaratta & Shepparton","3","A57FB2","FFFFFF"
"5-V11-mjp-5","","","Bendigo - Albury Via Wangaratta & Shepparton","3","A57FB2","FFFFFF"
"5-V11-mjp-6","","","Bendigo - Albury Via Wangaratta & Shepparton","3","A57FB2","FFFFFF"
"5-V11-mjp-7","","","Bendigo - Albury Via Wangaratta & Shepparton","3","A57FB2","FFFFFF"
"5-V11-mjp-8","","","Bendigo - Albury Via Wangaratta & Shepparton","3","A57FB2","FFFFFF"
"5-V11-mjp-9","","","Bendigo - Albury Via Wangaratta & Shepparton","3","A57FB2","FFFFFF"
"5-V13-mjp-1","","","Canberra Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V13-mjp-10","","","Canberra - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V13-mjp-11","","","Canberra - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V13-mjp-2","","","Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V13-mjp-3","","","Canberra Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V13-mjp-4","","","Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V13-mjp-5","","","Canberra - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V13-mjp-6","","","Canberra - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V13-mjp-7","","","Canberra - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V13-mjp-9","","","Canberra - Melbourne Via Bairnsdale","3","A57FB2","FFFFFF"
"5-V14-mjp-1","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V14-mjp-10","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V14-mjp-11","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V14-mjp-2","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V14-mjp-3","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V14-mjp-4","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V14-mjp-5","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V14-mjp-6","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V14-mjp-7","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V14-mjp-8","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
